0,12.97556,79.16056
5,12.97586,79.16086
10,12.97616,79.16116
15,12.97646,79.16146
20,12.97676,79.16176
25,12.97706,79.16206
30,12.97736,79.16236
35,12.97766,79.16266
40,12.97796,79.16296
50,12.97826,79.16326
52,12.97856,79.16356
55,12.97886,79.16386
52,12.97916,79.16416
50,12.97946,79.16446
40,12.97976,79.16476
35,12.98006,79.16506
30,12.98036,79.16536
25,12.98066,79.16566
17,12.98096,79.16596
15,12.98126,79.16626
12,12.98156,79.16656
10,12.98186,79.16686
7,12.98216,79.16716
4,12.98246,79.16746
0,12.98276,79.16776
